,precision,recall,f1-score,support
Attack,0.9945872801082544,0.9959349593495935,0.995260663507109,738.0
Benign,0.9565102445472571,0.54850039164161,0.6971993833504624,39577.0
C&C,0.5964391691394659,0.13056187073725237,0.21422861710631497,3079.0
C&C-FileDownload,0.75,0.5,0.6,12.0
C&C-HeartBeat,0.8,0.4444444444444444,0.5714285714285714,45.0
C&C-HeartBeat-FileDownload,1.0,1.0,1.0,1.0
C&C-Mirai,0.0,0.0,0.0,0.0
C&C-Torii,0.0,0.0,0.0,3.0
DDoS,0.9996064369424523,0.8222957660347494,0.9023230110328221,27799.0
FileDownload,0.75,1.0,0.8571428571428571,3.0
Okiru,0.6538461538461539,0.0005257786162743945,0.0010507123211471307,32333.0
PartOfAHorizontalPortScan,0.7447440409931002,0.9994375396897396,0.8534950262888781,165345.0
accuracy,0.7845873538215554,0.7845873538215554,0.7845873538215554,0.7845873538215554
macro avg,0.687144443798057,0.5368083958761386,0.5576774035148467,268935.0
weighted avg,0.7903138976102856,0.7845873538215554,0.7260581299488768,268935.0
