,precision,recall,f1-score,support
Attack,0.9761904761904762,0.9948914431673053,0.9854522454142948,783.0
Benign,0.9524820586861438,0.5601198651517043,0.7054124602949964,40045.0
C&C,0.9684542586750788,0.10175671196552867,0.1841631673665267,3017.0
C&C-FileDownload,0.75,0.8571428571428571,0.7999999999999999,7.0
C&C-HeartBeat,0.8918918918918919,0.66,0.7586206896551725,50.0
C&C-HeartBeat-FileDownload,0.0,0.0,0.0,0.0
C&C-Torii,0.0,0.0,0.0,10.0
DDoS,0.9994778749510508,0.8212140712140712,0.9016190756549897,27972.0
FileDownload,0.5,0.3333333333333333,0.4,3.0
Okiru,0.0,0.0,0.0,32607.0
PartOfAHorizontalPortScan,0.7427849520202134,0.9993432294865636,0.8521727857291018,164441.0
accuracy,0.7840556268243256,0.7840556268243256,0.7840556268243256,0.7840556268243256
macro avg,0.6164801374922595,0.484345591951033,0.5079491294650075,268935.0
weighted avg,0.7138578752830527,0.7840556268243256,0.7249797766501226,268935.0
