,precision,recall,f1-score,support
Attack,0.7561697926949654,0.9782886334610472,0.8530066815144765,783.0
Benign,0.9776749472316935,0.30073667124484954,0.4599812844947769,40045.0
C&C,0.6158536585365854,0.10043089161418628,0.17269877457965233,3017.0
C&C-FileDownload,0.0,0.0,0.0,7.0
C&C-HeartBeat,0.0,0.0,0.0,50.0
C&C-Torii,0.0,0.0,0.0,10.0
DDoS,0.9995213437187241,0.8211783211783211,0.9016152140207642,27972.0
FileDownload,0.0,0.0,0.0,3.0
Okiru,0.0,0.0,0.0,32607.0
PartOfAHorizontalPortScan,0.7067044039787879,0.9976100850761064,0.8273302199852739,164441.0
accuracy,0.7441575101790395,0.7441575101790395,0.7441575101790395,0.7441575101790395
macro avg,0.40559241461607565,0.31982446025745104,0.32146321745949435,268935.0
weighted avg,0.6907650347427974,0.7441575101790395,0.6725635430245718,268935.0
