,precision,recall,f1-score,support
Attack,0.0,0.0,0.0,30.0
Benign,0.0,0.0,0.0,1982.0
C&C,0.0,0.0,0.0,135.0
C&C-HeartBeat,0.0,0.0,0.0,4.0
C&C-Torii,0.0,0.0,0.0,1.0
DDoS,0.0,0.0,0.0,1416.0
Okiru,0.0,0.0,0.0,1570.0
PartOfAHorizontalPortScan,0.6173666964551683,1.0,0.7634220462289345,8290.0
accuracy,0.6173666964551683,0.6173666964551683,0.6173666964551683,0.6173666964551683
macro avg,0.07717083705689604,0.125,0.09542775577861681,13428.0
weighted avg,0.3811416378919679,0.6173666964551683,0.4713113466814021,13428.0
