,precision,recall,f1-score,support
Attack,0.4153846153846154,0.06896551724137931,0.11829134720700986,783.0
Benign,0.99965656392204,0.29074790860282185,0.4504758956898553,40045.0
C&C,0.5891472868217055,0.10076234670202187,0.17209170676478913,3017.0
C&C-FileDownload,0.006659267480577136,0.8571428571428571,0.013215859030837005,7.0
C&C-HeartBeat,0.05863192182410423,0.72,0.10843373493975902,50.0
C&C-HeartBeat-FileDownload,0.0,0.0,0.0,0.0
C&C-Torii,0.1,0.1,0.10000000000000002,10.0
DDoS,0.9994779203828584,0.8212855712855713,0.9016621857644681,27972.0
FileDownload,0.0,0.0,0.0,3.0
Okiru,0.1403492900468707,0.9991412886803447,0.24612537065367254,32607.0
PartOfAHorizontalPortScan,0.0,0.0,0.0,164441.0
accuracy,0.25134697975347203,0.25134697975347203,0.25134697975347203,0.25134697975347203
macro avg,0.30084607871479735,0.3598223172413633,0.191845100004581,268935.0
weighted avg,0.27765703430537686,0.25134697975347203,0.192999605354234,268935.0
